id,date,home_team,home_team_score,visit_team,visit_team_score
400578298,2015-10-29,Boston Celtics,121,Brooklyn,105
400578326,2015-11-01,Houston,104,Boston Celtics,90
400578338,2015-11-03,Dallas,118,Boston Celtics,113
400578351,2015-11-05,Boston Celtics,107,Toronto,110
400578366,2015-11-07,Boston Celtics,101,Indiana,98
400578378,2015-11-08,Chicago,101,Boston Celtics,106
400578403,2015-11-12,Boston Celtics,94,Oklahoma City,109
400578417,2015-11-14,Boston Celtics,121,Cleveland,122
400578440,2015-11-17,Boston Celtics,114,Phoenix,118
400578454,2015-11-19,Philadelphia,90,Boston Celtics,101
400578468,2015-11-21,Memphis,117,Boston Celtics,100
400578486,2015-11-23,Boston Celtics,88,Portland,94
400578515,2015-11-28,Boston Celtics,102,Chicago,109
400578533,2015-11-30,Boston Celtics,89,San Antonio,111
400578546,2015-12-02,Atlanta,109,Boston Celtics,105
400578557,2015-12-03,Boston Celtics,109,Detroit,102
400578571,2015-12-05,Boston Celtics,113,Los Angeles,96
400578586,2015-12-07,Boston Celtics,101,Washington,93
400578594,2015-12-08,Washington,133,Boston Celtics,132
400578608,2015-12-10,Charlotte,96,Boston Celtics,87
400578623,2015-12-12,Boston Celtics,95,NY Knicks,101
400578649,2015-12-15,Philadelphia,87,Boston Celtics,105
400578663,2015-12-17,Boston Celtics,109,Orlando,92
400578677,2015-12-19,Boston Celtics,114,Minnesota,98
400578696,2015-12-21,Miami,100,Boston Celtics,84
400578710,2015-12-23,Orlando,100,Boston Celtics,95
400578724,2015-12-26,Boston Celtics,107,Brooklyn,109
400578737,2015-12-27,Washington,101,Boston Celtics,88
400578767,2015-12-31,Boston Celtics,106,Sacramento,84
400578778,2015-01-02,Boston Celtics,101,Dallas,119
400578788,2015-01-03,Chicago,109,Boston Celtics,104
400578802,2015-01-05,Boston Celtics,95,Charlotte,104
400578819,2015-01-07,Brooklyn,81,Boston Celtics,89
400578830,2015-01-09,Indiana,107,Boston Celtics,103
400578845,2015-01-10,Toronto,109,Boston Celtics,96
