,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",80.0,80.0,34.7,18.9,0.4,5.0,5.4,3.3,1.0,0.64,2.1,2.9,1.5,19.8,0.975308641975,0.975609756098,0.854922279793,0.682310469314,0.0888888888889,0.467289719626,0.355263157895,0.2578125,0.425531914894,0.248062015504,0.538461538462,0.707317073171,0.1875,0.725,7.48927795562
1,"Ray Allen, SG",80.0,80.0,36.1,16.5,0.6,2.8,3.4,2.7,0.96,0.2,1.5,1.8,1.9,16.4,0.975308641975,0.975609756098,0.891191709845,0.595667870036,0.133333333333,0.261682242991,0.223684210526,0.2109375,0.408510638298,0.077519379845,0.384615384615,0.439024390244,0.2375,0.659615384615,6.47420044242
2,"Kevin Garnett, PF",71.0,71.0,31.3,14.9,1.2,7.7,8.9,2.4,1.34,0.8,1.6,2.1,1.5,20.7,0.864197530864,0.865853658537,0.766839378238,0.537906137184,0.266666666667,0.719626168224,0.585526315789,0.1875,0.570212765957,0.31007751938,0.410256410256,0.512195121951,0.1875,0.742307692308,7.52666536536
3,"Glen Davis, PF",78.0,13.0,29.5,11.7,1.3,4.2,5.4,1.2,1.0,0.38,1.1,3.0,1.1,12.8,0.950617283951,0.158536585366,0.720207253886,0.42238267148,0.288888888889,0.392523364486,0.355263157895,0.09375,0.425531914894,0.147286821705,0.282051282051,0.731707317073,0.1375,0.590384615385,5.69663115706
4,"Rajon Rondo, PG",68.0,68.0,37.2,10.6,1.3,3.1,4.4,11.2,2.25,0.16,3.4,1.8,3.2,17.1,0.827160493827,0.829268292683,0.919689119171,0.382671480144,0.288888888889,0.289719626168,0.289473684211,0.875,0.957446808511,0.062015503876,0.871794871795,0.439024390244,0.4,0.673076923077,8.1052300826
5,"Jeff Green, SF†",26.0,2.0,23.5,9.8,0.6,2.7,3.3,0.7,0.5,0.62,0.9,2.6,0.8,12.9,0.308641975309,0.0243902439024,0.564766839378,0.353790613718,0.133333333333,0.252336448598,0.217105263158,0.0546875,0.212765957447,0.240310077519,0.230769230769,0.634146341463,0.1,0.592307692308,3.9193515169
6,"Shaquille O'Neal, C",37.0,36.0,20.3,9.2,1.3,3.5,4.8,0.7,0.43,1.14,1.5,3.2,0.5,17.4,0.444444444444,0.439024390244,0.481865284974,0.332129963899,0.288888888889,0.327102803738,0.315789473684,0.0546875,0.182978723404,0.441860465116,0.384615384615,0.780487804878,0.0625,0.678846153846,5.21522128173
7,"Nenad Krstic, C†",24.0,20.0,23.0,9.1,2.0,3.4,5.3,0.3,0.33,0.33,1.0,3.2,0.3,14.3,0.283950617284,0.243902439024,0.551813471503,0.328519855596,0.444444444444,0.317757009346,0.348684210526,0.0234375,0.140425531915,0.127906976744,0.25641025641,0.780487804878,0.0375,0.619230769231,4.5044708869
8,"Kendrick Perkins, C†",12.0,7.0,26.1,7.3,1.9,6.2,8.1,0.8,0.17,0.83,2.1,3.1,0.4,10.3,0.135802469136,0.0853658536585,0.632124352332,0.263537906137,0.422222222222,0.579439252336,0.532894736842,0.0625,0.0723404255319,0.321705426357,0.538461538462,0.756097560976,0.05,0.542307692308,4.9947994363
9,"Nate Robinson, PG†",55.0,11.0,17.9,7.1,0.3,1.3,1.6,1.9,0.53,0.07,1.2,1.9,1.6,10.3,0.666666666667,0.134146341463,0.419689119171,0.256317689531,0.0666666666667,0.121495327103,0.105263157895,0.1484375,0.225531914894,0.0271317829457,0.307692307692,0.463414634146,0.2,0.542307692308,3.68476080048
10,"Delonte West, SG",24.0,2.0,18.9,5.6,0.3,1.3,1.5,2.7,0.83,0.42,1.3,1.2,2.1,12.3,0.283950617284,0.0243902439024,0.445595854922,0.202166064982,0.0666666666667,0.121495327103,0.0986842105263,0.2109375,0.353191489362,0.162790697674,0.333333333333,0.292682926829,0.2625,0.580769230769,3.43915416335
11,"Marquis Daniels, SG",49.0,0.0,19.1,5.5,0.5,1.8,2.3,1.3,0.8,0.45,0.8,1.3,1.7,11.8,0.592592592593,0.0,0.450777202073,0.198555956679,0.111111111111,0.168224299065,0.151315789474,0.1015625,0.340425531915,0.174418604651,0.205128205128,0.317073170732,0.2125,0.571153846154,3.59483880957
12,"Jermaine O'Neal, C",24.0,10.0,18.0,5.4,1.0,2.6,3.7,0.5,0.08,1.25,1.1,2.7,0.4,9.2,0.283950617284,0.121951219512,0.422279792746,0.194945848375,0.222222222222,0.242990654206,0.243421052632,0.0390625,0.0340425531915,0.484496124031,0.282051282051,0.658536585366,0.05,0.521153846154,3.80110429777
13,"Semih Erden, C†",37.0,7.0,14.4,4.1,0.8,2.1,2.9,0.5,0.35,0.57,0.9,2.5,0.6,10.8,0.444444444444,0.0853658536585,0.329015544041,0.148014440433,0.177777777778,0.196261682243,0.190789473684,0.0390625,0.148936170213,0.220930232558,0.230769230769,0.609756097561,0.075,0.551923076923,3.44804652431
14,"Von Wafer, SG",58.0,2.0,9.5,3.2,0.1,0.7,0.8,0.6,0.31,0.09,0.3,0.7,1.8,10.6,0.703703703704,0.0243902439024,0.20207253886,0.115523465704,0.0222222222222,0.0654205607477,0.0526315789474,0.046875,0.131914893617,0.0348837209302,0.0769230769231,0.170731707317,0.225,0.548076923077,2.42036963595
15,"Troy Murphy, PF†",17.0,0.0,10.5,2.6,0.6,1.6,2.2,0.4,0.47,0.06,0.4,1.1,0.9,10.2,0.197530864198,0.0,0.227979274611,0.0938628158845,0.133333333333,0.14953271028,0.144736842105,0.03125,0.2,0.0232558139535,0.102564102564,0.268292682927,0.1125,0.540384615385,2.22522305524
16,"Carlos Arroyo, PG†",15.0,1.0,12.7,2.4,0.5,1.1,1.5,1.7,0.47,0.0,1.1,0.7,1.5,6.7,0.172839506173,0.0121951219512,0.284974093264,0.086642599278,0.111111111111,0.102803738318,0.0986842105263,0.1328125,0.2,0.0,0.282051282051,0.170731707317,0.1875,0.473076923077,2.31542279307
17,"Luke Harangody, PF†",28.0,0.0,8.6,2.3,0.6,1.4,2.0,0.4,0.14,0.25,0.2,1.3,2.0,8.7,0.333333333333,0.0,0.178756476684,0.0830324909747,0.133333333333,0.130841121495,0.131578947368,0.03125,0.0595744680851,0.0968992248062,0.0512820512821,0.317073170732,0.25,0.511538461538,2.30849307963
18,"Sasha Pavlovic, SG†",17.0,0.0,8.8,1.8,0.1,0.8,0.8,0.2,0.29,0.0,0.4,0.9,0.5,5.1,0.197530864198,0.0,0.183937823834,0.0649819494585,0.0222222222222,0.0747663551402,0.0526315789474,0.015625,0.123404255319,0.0,0.102564102564,0.219512195122,0.0625,0.442307692308,1.56198403911
19,"Avery Bradley, SG",31.0,0.0,5.2,1.7,0.1,0.4,0.5,0.4,0.29,0.0,0.5,0.6,0.8,2.2,0.37037037037,0.0,0.0906735751295,0.0613718411552,0.0222222222222,0.0373831775701,0.0328947368421,0.03125,0.123404255319,0.0,0.128205128205,0.146341463415,0.1,0.386538461538,1.53065523177
20,"Chris Johnson, C†",4.0,0.0,8.0,1.5,0.3,1.0,1.3,0.3,0.0,0.75,0.5,0.8,0.5,9.9,0.037037037037,0.0,0.163212435233,0.0541516245487,0.0666666666667,0.0934579439252,0.0855263157895,0.0234375,0.0,0.290697674419,0.128205128205,0.19512195122,0.0625,0.534615384615,1.73462966166
21,"Brook Lopez, C",82.0,82.0,35.2,20.4,2.4,3.5,6.0,1.6,0.57,1.46,2.1,2.9,0.7,19.3,1.0,1.0,0.867875647668,0.736462093863,0.533333333333,0.327102803738,0.394736842105,0.125,0.242553191489,0.565891472868,0.538461538462,0.707317073171,0.0875,0.715384615385,7.84161861208
22,"Devin Harris, PG†",54.0,54.0,31.9,15.0,0.2,2.2,2.4,7.6,1.06,0.09,2.9,2.4,2.6,17.7,0.654320987654,0.658536585366,0.782383419689,0.541516245487,0.0444444444444,0.205607476636,0.157894736842,0.59375,0.451063829787,0.0348837209302,0.74358974359,0.585365853659,0.325,0.684615384615,6.4629724287
