,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",80.0,80.0,35.9,19.6,0.7,4.5,5.1,4.5,1.26,0.45,2.8,2.5,1.6,19.9,0.975308641975,0.975609756098,0.858851674641,0.653333333333,0.170731707317,0.416666666667,0.359154929577,0.387931034483,0.464944649446,0.124653739612,0.636363636364,0.609756097561,0.0761904761905,0.470347648262,7.17984399153
1,"Kevin Garnett, PF",71.0,71.0,32.8,18.8,1.9,7.3,9.2,3.4,1.41,1.25,1.9,2.3,1.8,25.4,0.864197530864,0.865853658537,0.784688995215,0.626666666667,0.463414634146,0.675925925926,0.647887323944,0.293103448276,0.520295202952,0.346260387812,0.431818181818,0.560975609756,0.0857142857143,0.58282208589,7.74962393752
2,"Ray Allen, SG",73.0,73.0,35.9,17.4,1.0,2.6,3.7,3.1,0.89,0.22,1.7,2.0,1.8,16.6,0.888888888889,0.890243902439,0.858851674641,0.58,0.243902439024,0.240740740741,0.260563380282,0.26724137931,0.328413284133,0.0609418282548,0.386363636364,0.487804878049,0.0857142857143,0.402862985685,5.98253330353
3,"Rajon Rondo, PG",77.0,77.0,29.9,10.6,1.0,3.2,4.2,5.1,1.68,0.17,1.9,2.4,2.7,15.7,0.938271604938,0.939024390244,0.715311004785,0.353333333333,0.243902439024,0.296296296296,0.295774647887,0.439655172414,0.619926199262,0.0470914127424,0.431818181818,0.585365853659,0.128571428571,0.38445807771,6.41880004268
4,"Leon Powe, PF",56.0,5.0,14.4,7.9,1.7,2.4,4.1,0.3,0.27,0.29,0.8,2.3,0.3,21.0,0.679012345679,0.0609756097561,0.344497607656,0.263333333333,0.414634146341,0.222222222222,0.288732394366,0.0258620689655,0.09963099631,0.0803324099723,0.181818181818,0.560975609756,0.0142857142857,0.492842535787,3.72915517625
5,"Sam Cassell, PG†",17.0,1.0,17.6,7.6,0.3,1.5,1.8,2.1,0.53,0.18,1.1,1.7,1.8,15.3,0.197530864198,0.0121951219512,0.421052631579,0.253333333333,0.0731707317073,0.138888888889,0.12676056338,0.181034482759,0.19557195572,0.0498614958449,0.25,0.414634146341,0.0857142857143,0.376278118609,2.77602662003
6,"Eddie House, SG",78.0,2.0,19.0,7.5,0.2,1.9,2.1,1.9,0.76,0.13,1.0,1.5,2.0,13.2,0.950617283951,0.0243902439024,0.454545454545,0.25,0.0487804878049,0.175925925926,0.147887323944,0.163793103448,0.280442804428,0.0360110803324,0.227272727273,0.365853658537,0.0952380952381,0.333333333333,3.55409152266
7,"James Posey, SF",74.0,2.0,24.6,7.4,0.4,3.9,4.4,1.5,0.97,0.26,0.9,2.5,1.8,12.2,0.901234567901,0.0243902439024,0.588516746411,0.246666666667,0.0975609756098,0.361111111111,0.30985915493,0.129310344828,0.357933579336,0.0720221606648,0.204545454545,0.609756097561,0.0857142857143,0.312883435583,4.30150482476
8,"Kendrick Perkins, C",78.0,78.0,24.5,6.9,1.9,4.2,6.1,1.1,0.4,1.46,1.6,3.1,0.7,13.4,0.950617283951,0.951219512195,0.586124401914,0.23,0.463414634146,0.388888888889,0.429577464789,0.0948275862069,0.147601476015,0.404432132964,0.363636363636,0.756097560976,0.0333333333333,0.337423312883,6.1371939519
9,"Tony Allen, SG",75.0,11.0,18.3,6.6,0.5,1.8,2.2,1.5,0.83,0.28,1.5,2.2,1.0,10.8,0.913580246914,0.134146341463,0.437799043062,0.22,0.121951219512,0.166666666667,0.154929577465,0.129310344828,0.306273062731,0.0775623268698,0.340909090909,0.536585365854,0.047619047619,0.284253578732,3.87158591262
10,"Glen Davis, PF",69.0,1.0,13.6,4.5,1.4,1.6,3.0,0.4,0.45,0.29,0.9,2.3,0.4,11.4,0.83950617284,0.0121951219512,0.325358851675,0.15,0.341463414634,0.148148148148,0.211267605634,0.0344827586207,0.166051660517,0.0803324099723,0.204545454545,0.560975609756,0.0190476190476,0.296523517382,3.38989834472
11,"P.J. Brown, PF",18.0,0.0,11.6,2.2,1.6,2.2,3.8,0.6,0.28,0.44,0.6,1.6,1.0,10.3,0.20987654321,0.0,0.277511961722,0.0733333333333,0.390243902439,0.203703703704,0.267605633803,0.051724137931,0.10332103321,0.12188365651,0.136363636364,0.390243902439,0.047619047619,0.274028629857,2.54745912214
12,"Gabe Pruitt, PG",15.0,0.0,6.3,2.1,0.1,0.5,0.5,0.9,0.33,0.0,0.3,0.7,2.6,8.4,0.172839506173,0.0,0.150717703349,0.07,0.0243902439024,0.0462962962963,0.0352112676056,0.0775862068966,0.121771217712,0.0,0.0681818181818,0.170731707317,0.12380952381,0.235173824131,1.29670931537
13,"Brian Scalabrine, PF",48.0,9.0,10.7,1.8,0.5,1.2,1.6,0.8,0.19,0.17,0.5,1.3,1.5,5.2,0.58024691358,0.109756097561,0.255980861244,0.06,0.121951219512,0.111111111111,0.112676056338,0.0689655172414,0.070110701107,0.0470914127424,0.113636363636,0.317073170732,0.0714285714286,0.169734151329,2.20976214756
14,"Scot Pollard, C",22.0,0.0,7.9,1.8,0.6,1.0,1.7,0.1,0.14,0.27,0.2,2.0,0.6,8.7,0.259259259259,0.0,0.188995215311,0.06,0.146341463415,0.0925925925926,0.119718309859,0.00862068965517,0.0516605166052,0.0747922437673,0.0454545454545,0.487804878049,0.0285714285714,0.241308793456,1.805119936
15,"Richard Jefferson, SF",82.0,82.0,39.0,22.6,1.1,3.0,4.2,3.1,0.93,0.26,2.4,2.7,1.3,17.5,1.0,1.0,0.933014354067,0.753333333333,0.268292682927,0.277777777778,0.295774647887,0.26724137931,0.343173431734,0.0720221606648,0.545454545455,0.658536585366,0.0619047619048,0.421267893661,6.89779355409
16,"Vince Carter, SG",76.0,72.0,38.9,21.3,1.5,4.5,6.0,5.1,1.22,0.43,2.4,3.2,2.1,18.9,0.925925925926,0.878048780488,0.930622009569,0.71,0.365853658537,0.416666666667,0.422535211268,0.439655172414,0.450184501845,0.119113573407,0.545454545455,0.780487804878,0.1,0.449897750511,7.53444560096
17,"Devin Harris, PG†",25.0,22.0,33.5,15.4,0.4,2.8,3.3,6.5,1.36,0.32,2.7,2.5,2.4,17.6,0.296296296296,0.268292682927,0.801435406699,0.513333333333,0.0975609756098,0.259259259259,0.232394366197,0.560344827586,0.50184501845,0.0886426592798,0.613636363636,0.609756097561,0.114285714286,0.423312883436,5.38039588456
18,"Jason Kidd, PG†",51.0,51.0,37.2,11.3,1.1,6.9,8.1,10.4,1.45,0.29,3.6,1.8,2.9,16.8,0.617283950617,0.621951219512,0.88995215311,0.376666666667,0.268292682927,0.638888888889,0.570422535211,0.896551724138,0.535055350554,0.0803324099723,0.818181818182,0.439024390244,0.138095238095,0.406952965235,7.29765199335
19,"Bostjan Nachbar, SF",75.0,1.0,22.1,9.8,0.7,2.7,3.5,1.2,0.59,0.28,1.1,2.4,1.0,12.5,0.913580246914,0.0121951219512,0.528708133971,0.326666666667,0.170731707317,0.25,0.246478873239,0.103448275862,0.217712177122,0.0775623268698,0.25,0.585365853659,0.047619047619,0.319018404908,4.0490868361
20,"Josh Boone, PF",70.0,53.0,25.3,8.2,2.7,4.5,7.3,0.8,0.51,0.87,1.0,2.2,0.8,14.8,0.851851851852,0.646341463415,0.605263157895,0.273333333333,0.658536585366,0.416666666667,0.514084507042,0.0689655172414,0.188191881919,0.240997229917,0.227272727273,0.536585365854,0.0380952380952,0.366053169734,5.6322386956
21,"Antoine Wright, SF†",41.0,10.0,25.8,7.3,0.9,2.2,3.0,1.6,0.63,0.41,1.0,2.6,1.7,8.5,0.493827160494,0.121951219512,0.617224880383,0.243333333333,0.219512195122,0.203703703704,0.211267605634,0.137931034483,0.232472324723,0.113573407202,0.227272727273,0.634146341463,0.0809523809524,0.237218813906,3.77438712818
22,"Nenad Krstic, C",45.0,38.0,18.0,6.6,0.8,3.7,4.4,0.6,0.2,0.38,0.9,2.5,0.7,8.5,0.543209876543,0.463414634146,0.430622009569,0.22,0.19512195122,0.342592592593,0.30985915493,0.051724137931,0.0738007380074,0.105263157895,0.204545454545,0.609756097561,0.0333333333333,0.237218813906,3.82046195218
23,"Marcus Williams, PG",53.0,7.0,16.1,5.9,0.3,1.6,1.9,2.6,0.47,0.06,1.4,1.0,1.9,11.2,0.641975308642,0.0853658536585,0.385167464115,0.196666666667,0.0731707317073,0.148148148148,0.133802816901,0.224137931034,0.173431734317,0.016620498615,0.318181818182,0.243902439024,0.0904761904762,0.292433537832,3.02348113932
24,"Sean Williams, PF",73.0,29.0,17.5,5.6,1.6,2.8,4.4,0.4,0.38,1.45,1.0,2.6,0.4,13.8,0.888888888889,0.353658536585,0.418660287081,0.186666666667,0.390243902439,0.259259259259,0.30985915493,0.0344827586207,0.140221402214,0.401662049861,0.227272727273,0.634146341463,0.0190476190476,0.345603271984,4.60967286631
25,"Malik Allen, PF†",48.0,12.0,15.9,5.4,0.9,1.8,2.7,0.6,0.31,0.44,0.7,1.9,0.9,9.8,0.58024691358,0.146341463415,0.38038277512,0.18,0.219512195122,0.166666666667,0.19014084507,0.051724137931,0.114391143911,0.12188365651,0.159090909091,0.463414634146,0.0428571428571,0.263803680982,3.0804561644
26,"Stromile Swift, PF†",21.0,0.0,14.0,5.0,0.9,2.5,3.3,0.2,0.24,0.86,0.6,1.9,0.3,14.7,0.246913580247,0.0,0.334928229665,0.166666666667,0.219512195122,0.231481481481,0.232394366197,0.0172413793103,0.0885608856089,0.238227146814,0.136363636364,0.463414634146,0.0142857142857,0.364008179959,2.75399809587
27,"Eddie Gill, PG†",13.0,1.0,11.5,2.9,0.1,1.6,1.7,1.6,0.54,0.15,0.6,1.4,2.6,11.0,0.148148148148,0.0121951219512,0.275119617225,0.0966666666667,0.0243902439024,0.148148148148,0.119718309859,0.137931034483,0.19926199262,0.0415512465374,0.136363636364,0.341463414634,0.12380952381,0.288343558282,2.09311066263
28,"Maurice Ager, SF†",14.0,0.0,6.3,2.6,0.2,0.4,0.6,0.3,0.0,0.0,0.2,0.4,1.3,1.9,0.16049382716,0.0,0.150717703349,0.0866666666667,0.0487804878049,0.037037037037,0.0422535211268,0.0258620689655,0.0,0.0,0.0454545454545,0.0975609756098,0.0619047619048,0.102249488753,0.858981083832
29,"DeSagana Diop, C†",27.0,5.0,14.9,2.5,1.8,2.7,4.5,0.5,0.22,0.93,0.6,1.7,0.9,12.4,0.320987654321,0.0609756097561,0.356459330144,0.0833333333333,0.439024390244,0.25,0.316901408451,0.0431034482759,0.0811808118081,0.257617728532,0.136363636364,0.414634146341,0.0428571428571,0.316973415133,3.12041205556
30,"Darrell Armstrong, PG",50.0,2.0,11.0,2.5,0.3,1.0,1.3,1.5,0.56,0.04,0.8,1.1,1.8,8.8,0.604938271605,0.0243902439024,0.263157894737,0.0833333333333,0.0731707317073,0.0925925925926,0.0915492957746,0.129310344828,0.206642066421,0.01108033241,0.181818181818,0.268292682927,0.0857142857143,0.243353783231,2.359344041
31,"Jamaal Magloire, C†",24.0,2.0,10.8,1.8,0.8,2.6,3.4,0.3,0.0,0.42,1.0,1.8,0.3,1.5,0.283950617284,0.0243902439024,0.258373205742,0.06,0.19512195122,0.240740740741,0.239436619718,0.0258620689655,0.0,0.116343490305,0.227272727273,0.439024390244,0.0142857142857,0.0940695296524,2.21887129933
32,"Trenton Hassell, SF†",26.0,0.0,11.9,1.8,0.3,1.2,1.5,0.6,0.15,0.08,0.3,1.3,1.9,4.3,0.308641975309,0.0,0.284688995215,0.06,0.0731707317073,0.111111111111,0.105633802817,0.051724137931,0.0553505535055,0.0221606648199,0.0681818181818,0.317073170732,0.0904761904762,0.151329243354,1.69954239516
33,"Jason Collins, C†",43.0,23.0,15.9,1.4,0.8,1.3,2.1,0.4,0.26,0.19,0.5,2.6,0.8,3.4,0.518518518519,0.280487804878,0.38038277512,0.0466666666667,0.19512195122,0.12037037037,0.147887323944,0.0344827586207,0.0959409594096,0.0526315789474,0.113636363636,0.634146341463,0.0380952380952,0.132924335378,2.79129298627
