,id,player,MIN,FG,3PT,FT,REB,AST,STL,BLK,TO,PF,PTS
0,400488879,B. Bass,32,6-7,5-5,0-0,2,2,2,0,1,2,17
1,400488879,G. Wallace,40,1-1,1-4,0-0,3,2,4,0,5,2,3
2,400488879,J. Green,37,8-16,7-9,2-3,5,2,1,1,1,4,25
3,400488879,V. Faverani,27,4-9,5-8,0-1,3,0,0,3,3,5,13
4,400488879,A. Bradley,31,4-13,0-0,0-3,5,4,2,1,4,6,8
5,400488879,K. Humphries,21,3-4,2-3,0-0,9,0,0,2,2,2,8
6,400488879,K. Olynyk,16,2-5,0-0,0-2,0,0,0,0,3,2,4
7,400488879,P. Pressey,4,0-2,0-0,0-1,1,0,0,0,0,2,0
8,400488879,J. Crawford,18,3-5,0-0,1-1,3,5,0,0,1,2,7
9,400488879,C. Lee,14,1-4,0-0,0-2,2,0,1,0,2,0,2
10,400488879,A. Johnson,24,6-8,0-0,1-3,3,2,0,1,0,4,13
11,400488879,R. Gay,34,8-18,2-3,1-2,8,1,2,0,5,3,19
12,400488879,J. Valanciunas,31,4-9,0-0,0-0,11,0,1,2,3,4,8
13,400488879,K. Lowry,35,2-8,7-12,0-3,3,8,2,0,2,2,11
14,400488879,D. DeRozan,40,6-19,0-2,1-3,2,2,2,0,5,3,13
15,400488879,T. Hansbrough,25,3-4,1-2,0-0,12,0,0,3,0,1,7
16,400488879,T. Ross,12,2-3,1-2,1-1,2,0,2,0,1,2,6
17,400488879,S. Novak,7,1-3,0-0,1-2,1,0,0,0,0,1,3
18,400488879,D.J. Augustin,13,2-7,1-1,0-3,0,2,0,0,1,1,5
19,400488879,L. Fields,18,4-7,0-1,0-0,6,0,0,0,0,4,8
20,400488897,E. Ilyasova,23,2-7,0-0,1-3,4,1,2,1,1,3,5
21,400488897,C. Butler,27,2-8,2-2,2-4,6,1,1,0,0,1,8
22,400488897,L. Sanders,18,2-5,0-0,0-0,3,1,0,4,1,2,4
23,400488897,G. Neal,26,4-11,4-6,2-3,1,1,1,0,1,0,14
24,400488897,O.J. Mayo,23,2-9,4-4,0-1,4,2,2,0,3,4,8
25,400488897,G. Antetokounmpo,12,2-5,1-2,0-1,2,0,0,0,0,3,5
26,400488897,Z. Pachulia,30,5-10,10-10,0-0,9,4,2,1,0,4,20
27,400488897,J. Henson,25,6-11,2-4,0-0,9,0,0,1,0,2,14
28,400488897,N. Wolters,29,5-10,3-3,1-2,2,6,0,0,1,1,14
29,400488897,K. Middleton,27,5-8,3-3,0-1,1,2,2,0,0,4,13
30,400488897,B. Bass,35,6-11,5-6,0-0,8,2,0,1,0,3,17
31,400488897,G. Wallace,36,5-9,2-7,2-5,6,4,1,0,4,2,14
32,400488897,J. Green,38,4-13,4-7,1-3,9,1,0,0,4,3,13
33,400488897,V. Faverani,37,4-6,4-6,0-1,18,1,1,6,3,4,12
34,400488897,A. Bradley,33,4-14,0-0,0-3,2,2,1,0,4,6,8
35,400488897,J. Sullinger,10,2-6,6-7,0-0,3,0,0,0,1,4,10
36,400488897,K. Olynyk,14,2-5,0-0,0-1,2,1,0,0,1,4,4
37,400488897,J. Crawford,12,1-1,5-5,0-0,0,1,0,0,0,0,7
38,400488897,C. Lee,26,6-11,0-0,1-3,4,1,2,0,0,3,13
39,400488914,B. Bass,37,2-8,2-2,0-0,8,3,2,1,2,5,6
40,400488914,G. Wallace,36,2-6,0-0,1-3,1,2,4,0,2,2,5
41,400488914,J. Green,20,3-5,1-1,0-0,2,2,0,0,2,2,7
42,400488914,V. Faverani,19,4-6,0-0,0-1,2,1,2,1,2,2,8
43,400488914,A. Bradley,34,6-14,0-0,1-2,8,3,3,0,6,2,13
44,400488914,J. Sullinger,14,1-6,2-2,0-2,4,0,0,1,0,1,4
45,400488914,K. Olynyk,26,6-11,3-3,0-1,8,0,2,0,3,5,15
46,400488914,J. Crawford,22,5-10,2-2,1-4,3,1,1,0,3,0,13
47,400488914,M. Brooks,7,0-2,0-0,0-0,0,1,0,0,0,0,0
48,400488914,C. Lee,22,2-5,2-2,0-2,1,2,1,0,3,3,6
49,400488914,K. Bogans,3,0-1,0-0,0-1,0,0,0,0,0,0,0
50,400488914,J. Smith,36,7-15,1-3,0-4,7,3,2,2,6,2,15
51,400488914,A. Drummond,40,7-13,1-4,0-0,12,0,2,2,1,2,15
52,400488914,G. Monroe,37,7-14,1-4,0-0,10,2,1,1,4,3,15
53,400488914,C. Billups,21,2-4,0-0,1-3,4,2,2,0,2,2,5
