,id,player,MIN,FG,3PT,FT,REB,AST,STL,BLK,TO,PF,PTS,3PTsMade,3PTsAttempted,FTsMade,FTsAttempted,FGsMade,FGsAttempted
0,400488879,B. Bass,32,6-7,5-5,0-0,2,2,2,0,1,2,17,5.0,5.0,0.0,0.0,6.0,7.0
1,400488879,G. Wallace,40,1-1,1-4,0-0,3,2,4,0,5,2,3,1.0,4.0,0.0,0.0,1.0,1.0
2,400488879,J. Green,37,8-16,7-9,2-3,5,2,1,1,1,4,25,7.0,9.0,2.0,3.0,8.0,16.0
3,400488879,V. Faverani,27,4-9,5-8,0-1,3,0,0,3,3,5,13,5.0,8.0,0.0,1.0,4.0,9.0
4,400488879,A. Bradley,31,4-13,0-0,0-3,5,4,2,1,4,6,8,0.0,0.0,0.0,3.0,4.0,13.0
5,400488879,K. Humphries,21,3-4,2-3,0-0,9,0,0,2,2,2,8,2.0,3.0,0.0,0.0,3.0,4.0
6,400488879,K. Olynyk,16,2-5,0-0,0-2,0,0,0,0,3,2,4,0.0,0.0,0.0,2.0,2.0,5.0
7,400488879,P. Pressey,4,0-2,0-0,0-1,1,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,2.0
8,400488879,J. Crawford,18,3-5,0-0,1-1,3,5,0,0,1,2,7,0.0,0.0,1.0,1.0,3.0,5.0
9,400488879,C. Lee,14,1-4,0-0,0-2,2,0,1,0,2,0,2,0.0,0.0,0.0,2.0,1.0,4.0
10,400488879,A. Johnson,24,6-8,0-0,1-3,3,2,0,1,0,4,13,0.0,0.0,1.0,3.0,6.0,8.0
11,400488879,R. Gay,34,8-18,2-3,1-2,8,1,2,0,5,3,19,2.0,3.0,1.0,2.0,8.0,18.0
12,400488879,J. Valanciunas,31,4-9,0-0,0-0,11,0,1,2,3,4,8,0.0,0.0,0.0,0.0,4.0,9.0
13,400488879,K. Lowry,35,2-8,7-12,0-3,3,8,2,0,2,2,11,7.0,12.0,0.0,3.0,2.0,8.0
14,400488879,D. DeRozan,40,6-19,0-2,1-3,2,2,2,0,5,3,13,0.0,2.0,1.0,3.0,6.0,19.0
15,400488879,T. Hansbrough,25,3-4,1-2,0-0,12,0,0,3,0,1,7,1.0,2.0,0.0,0.0,3.0,4.0
16,400488879,T. Ross,12,2-3,1-2,1-1,2,0,2,0,1,2,6,1.0,2.0,1.0,1.0,2.0,3.0
17,400488879,S. Novak,7,1-3,0-0,1-2,1,0,0,0,0,1,3,0.0,0.0,1.0,2.0,1.0,3.0
18,400488879,D.J. Augustin,13,2-7,1-1,0-3,0,2,0,0,1,1,5,1.0,1.0,0.0,3.0,2.0,7.0
19,400488879,L. Fields,18,4-7,0-1,0-0,6,0,0,0,0,4,8,0.0,1.0,0.0,0.0,4.0,7.0
20,400488897,E. Ilyasova,23,2-7,0-0,1-3,4,1,2,1,1,3,5,0.0,0.0,1.0,3.0,2.0,7.0
21,400488897,C. Butler,27,2-8,2-2,2-4,6,1,1,0,0,1,8,2.0,2.0,2.0,4.0,2.0,8.0
22,400488897,L. Sanders,18,2-5,0-0,0-0,3,1,0,4,1,2,4,0.0,0.0,0.0,0.0,2.0,5.0
23,400488897,G. Neal,26,4-11,4-6,2-3,1,1,1,0,1,0,14,4.0,6.0,2.0,3.0,4.0,11.0
24,400488897,O.J. Mayo,23,2-9,4-4,0-1,4,2,2,0,3,4,8,4.0,4.0,0.0,1.0,2.0,9.0
25,400488897,G. Antetokounmpo,12,2-5,1-2,0-1,2,0,0,0,0,3,5,1.0,2.0,0.0,1.0,2.0,5.0
26,400488897,Z. Pachulia,30,5-10,10-10,0-0,9,4,2,1,0,4,20,10.0,10.0,0.0,0.0,5.0,10.0
27,400488897,J. Henson,25,6-11,2-4,0-0,9,0,0,1,0,2,14,2.0,4.0,0.0,0.0,6.0,11.0
28,400488897,N. Wolters,29,5-10,3-3,1-2,2,6,0,0,1,1,14,3.0,3.0,1.0,2.0,5.0,10.0
29,400488897,K. Middleton,27,5-8,3-3,0-1,1,2,2,0,0,4,13,3.0,3.0,0.0,1.0,5.0,8.0
30,400488897,B. Bass,35,6-11,5-6,0-0,8,2,0,1,0,3,17,5.0,6.0,0.0,0.0,6.0,11.0
31,400488897,G. Wallace,36,5-9,2-7,2-5,6,4,1,0,4,2,14,2.0,7.0,2.0,5.0,5.0,9.0
